Gene.stable.ID,Gene.name
ENSMUSG00000071195,GM10318
ENSMUSG00000102818,GM37796
ENSMUSG00000101795,GM5835
ENSMUSG00000069584,GM10272
ENSMUSG00000116341,CYP2D36-PS
ENSMUSG00000015316,SLAMF1
ENSMUSG00000030111,A2M
ENSMUSG00000111976,GM48178
ENSMUSG00000069581,TSPEAR
ENSMUSG00000037548,H2-DMB2
ENSMUSG00000037466,TEDC1
ENSMUSG00000042451,MYBPH
ENSMUSG00000101126,GM10538
ENSMUSG00000039262,PRRC2B
ENSMUSG00000039997,IFI203
ENSMUSG00000026442,NFASC
ENSMUSG00000001029,ICAM2
ENSMUSG00000050668,GPATCH11
ENSMUSG00000026991,PKP4
ENSMUSG00000085204,GM15327
ENSMUSG00000074731,ZFP345
ENSMUSG00000096131,GM9639
ENSMUSG00000001366,FBXO9
ENSMUSG00000112223,KRTAP10-10
ENSMUSG00000097254,C430042M11RIK
ENSMUSG00000083325,GM14121
ENSMUSG00000112600,GM49918
ENSMUSG00000021081,SERPINA1F
ENSMUSG00000081092,GM14128
ENSMUSG00000100457,D830032E09RIK
ENSMUSG00000117442,1810073O08RIK
ENSMUSG00000094146,GM10142
ENSMUSG00000117421,GM41639
ENSMUSG00000068129,CST7
ENSMUSG00000102934,GM38117
ENSMUSG00000112653,GM36176
ENSMUSG00000117611,GM35229
ENSMUSG00000000435,MYF5
ENSMUSG00000112170,GM9508
ENSMUSG00000117564,GM41638
ENSMUSG00000099484,GM28282
ENSMUSG00000101477,GM18448
ENSMUSG00000095970,GM19402
ENSMUSG00000117431,8430430B14RIK
ENSMUSG00000091549,GM6548
ENSMUSG00000086522,GM4473
ENSMUSG00000094120,GM3233
ENSMUSG00000103015,GM37549
ENSMUSG00000020598,NRCAM
ENSMUSG00000069583,KRTAP12-1
ENSMUSG00000087317,4930466I24RIK
ENSMUSG00000029650,SLC46A3
ENSMUSG00000107794,GM44095
ENSMUSG00000070345,HSF5
ENSMUSG00000112864,GM18596
ENSMUSG00000038147,CD84
ENSMUSG00000038793,LEFTY1
ENSMUSG00000094012,GM10024
ENSMUSG00000020715,ERN1
ENSMUSG00000086932,GM22000
ENSMUSG00000094913,GM9507
ENSMUSG00000081588,GM11661
ENSMUSG00000112037,GM48179
ENSMUSG00000112236,GM48180
ENSMUSG00000061086,MYL4
ENSMUSG00000095721,GM7137
ENSMUSG00000102878,IGHV2-8
ENSMUSG00000112380,GM9736
ENSMUSG00000096380,GM19668
ENSMUSG00000096638,IGHV2-9
ENSMUSG00000104319,IGHV5-19
